
==========================================================
 Experiment : survey-local-8-N1
 Config     : configs/survey-local-8-N1.yaml
 Method     : actor_critic
 Env        : 8x8, N=1, steps=80
 Train      : 4000 eps x 5 seed(s), lr=0.0003, gamma=0.99
==========================================================

survey-local-8-N1 (5 seeds): 0 / 4000 eps ...
[  0.0%] ep      1/4000 | loss +0.0241 | reward +1.072 |    0.9s elapsed / 3501.
[ 69.0%] ep   2761/4000 | loss -0.0345 | reward +2.421 |    7.0s elapsed /    3.
[ 69.5%] ep   2781/4000 | loss -0.0323 | reward +2.590 |    7.0s elapsed /    3.
[ 70.0%] ep   2801/4000 | loss -0.0348 | reward +2.759 |    7.1s elapsed /    3.
[ 70.5%] ep   2821/4000 | loss -0.0351 | reward +2.759 |    7.1s elapsed /    3.
[ 71.0%] ep   2841/4000 | loss -0.0347 | reward +2.253 |    7.2s elapsed /    2.
[ 71.5%] ep   2861/4000 | loss -0.0411 | reward +2.337 |    7.2s elapsed /    2.
[ 72.0%] ep   2881/4000 | loss -0.0411 | reward +2.000 |    7.3s elapsed /    2.
[ 72.5%] ep   2901/4000 | loss -0.0358 | reward +2.506 |    7.3s elapsed /    2.
[ 73.0%] ep   2921/4000 | loss -0.0366 | reward +2.421 |    7.3s elapsed /    2.
[ 73.5%] ep   2941/4000 | loss -0.0245 | reward +2.843 |    7.4s elapsed /    2.
[ 74.0%] ep   2961/4000 | loss -0.0369 | reward +2.337 |    7.4s elapsed /    2.
[ 74.5%] ep   2981/4000 | loss -0.0278 | reward +2.759 |    7.5s elapsed /    2.
[ 75.0%] ep   3001/4000 | loss -0.0323 | reward +2.421 |    7.5s elapsed /    2.
[ 75.5%] ep   3021/4000 | loss -0.0325 | reward +2.421 |    7.6s elapsed /    2.
[ 76.0%] ep   3041/4000 | loss -0.0397 | reward +2.421 |    7.6s elapsed /    2.
[ 76.5%] ep   3061/4000 | loss -0.0326 | reward +2.927 |    7.7s elapsed /    2.
[ 77.0%] ep   3081/4000 | loss -0.0342 | reward +2.506 |    7.7s elapsed /    2.
[ 77.5%] ep   3101/4000 | loss -0.0315 | reward +2.674 |    7.7s elapsed /    2.
[ 78.0%] ep   3121/4000 | loss -0.0373 | reward +2.759 |    7.8s elapsed /    2.
[ 78.5%] ep   3141/4000 | loss -0.0339 | reward +2.421 |    7.8s elapsed /    2.
[ 79.0%] ep   3161/4000 | loss -0.0389 | reward +2.421 |    7.9s elapsed /    2.
[ 79.5%] ep   3181/4000 | loss -0.0435 | reward +2.253 |    7.9s elapsed /    2.
[ 80.0%] ep   3201/4000 | loss -0.0386 | reward +2.590 |    8.0s elapsed /    2.
[ 80.5%] ep   3221/4000 | loss -0.0416 | reward +2.253 |    8.0s elapsed /    1.
[ 81.0%] ep   3241/4000 | loss -0.0278 | reward +2.843 |    8.1s elapsed /    1.
[ 81.5%] ep   3261/4000 | loss -0.0346 | reward +2.674 |    8.1s elapsed /    1.
[ 82.0%] ep   3281/4000 | loss -0.0418 | reward +2.000 |    8.1s elapsed /    1.
[ 82.5%] ep   3301/4000 | loss -0.0334 | reward +2.590 |    8.2s elapsed /    1.
[ 83.0%] ep   3321/4000 | loss -0.0369 | reward +2.590 |    8.2s elapsed /    1.
[ 83.5%] ep   3341/4000 | loss -0.0361 | reward +2.253 |    8.3s elapsed /    1.
[ 84.0%] ep   3361/4000 | loss -0.0328 | reward +2.506 |    8.3s elapsed /    1.
[ 84.5%] ep   3381/4000 | loss -0.0367 | reward +2.421 |    8.4s elapsed /    1.
[ 85.0%] ep   3401/4000 | loss -0.0365 | reward +2.590 |    8.4s elapsed /    1.
[ 85.5%] ep   3421/4000 | loss -0.0251 | reward +2.843 |    8.4s elapsed /    1.
[ 86.0%] ep   3441/4000 | loss -0.0343 | reward +2.590 |    8.5s elapsed /    1.
[ 86.5%] ep   3461/4000 | loss -0.0325 | reward +2.674 |    8.5s elapsed /    1.
[ 87.0%] ep   3481/4000 | loss -0.0310 | reward +2.843 |    8.6s elapsed /    1.
[ 87.5%] ep   3501/4000 | loss -0.0250 | reward +2.759 |    8.6s elapsed /    1.
[ 88.0%] ep   3521/4000 | loss -0.0317 | reward +2.590 |    8.7s elapsed /    1.
[ 88.5%] ep   3541/4000 | loss -0.0280 | reward +2.759 |    8.7s elapsed /    1.
[ 89.0%] ep   3561/4000 | loss -0.0317 | reward +2.674 |    8.8s elapsed /    1.
[ 89.5%] ep   3581/4000 | loss -0.0475 | reward +1.831 |    8.8s elapsed /    1.
[ 90.0%] ep   3601/4000 | loss -0.0556 | reward +1.578 |    8.8s elapsed /    1.
[ 90.5%] ep   3621/4000 | loss -0.0327 | reward +2.337 |    8.9s elapsed /    0.
