
===========================================================
 Experiment : survey-local-8-N2
 Config     : configs/survey-local-8-N2.yaml
 Method     : actor_critic
 Env        : 8x8, N=2, steps=80
 Train      : 2000 eps x 5 seed(s), lr=0.0001, gamma=0.99
 Warm-start : experiments/survey-local-8-N1/checkpoint.npz
===========================================================

Warm-starting from: experiments/survey-local-8-N1/checkpoint.npz
Grid-aware warm-start: tiling Dense_0 (1-block source -> 2-block target via tile x2, no grid upsample) — per-block obs_dim unchanged at 23.
Warm-started critic: input 23 -> 46, hidden 128, source_N=1 target_N=2.
survey-local-8-N2 (5 seeds): 0 / 2000 eps ...
[ 74.0%] ep   1481/2000 | loss -0.1650 | reward +5.174 |    9.3s elapsed /    3.
[ 74.5%] ep   1491/2000 | loss -0.1597 | reward +5.019 |    9.4s elapsed /    3.
[ 75.0%] ep   1501/2000 | loss +0.0214 | reward +5.328 |    9.4s elapsed /    3.
[ 75.5%] ep   1511/2000 | loss +0.3104 | reward +5.328 |    9.5s elapsed /    3.
[ 76.0%] ep   1521/2000 | loss +0.3223 | reward +5.174 |    9.5s elapsed /    3.
[ 76.5%] ep   1531/2000 | loss +0.2118 | reward +5.328 |    9.6s elapsed /    2.
[ 77.0%] ep   1541/2000 | loss +0.2534 | reward +5.328 |    9.6s elapsed /    2.
[ 77.5%] ep   1551/2000 | loss +0.2573 | reward +5.328 |    9.7s elapsed /    2.
[ 78.0%] ep   1561/2000 | loss +0.2848 | reward +5.328 |    9.7s elapsed /    2.
[ 78.5%] ep   1571/2000 | loss -0.4375 | reward +4.554 |    9.8s elapsed /    2.
[ 79.0%] ep   1581/2000 | loss -0.0278 | reward +5.174 |    9.8s elapsed /    2.
[ 79.5%] ep   1591/2000 | loss +0.1312 | reward +5.174 |    9.9s elapsed /    2.
[ 80.0%] ep   1601/2000 | loss +0.0865 | reward +5.174 |    9.9s elapsed /    2.
[ 80.5%] ep   1611/2000 | loss -12.4584 | reward -0.258 |   10.0s elapsed /    2
[ 81.0%] ep   1621/2000 | loss -0.2410 | reward +4.864 |   10.1s elapsed /    2.
[ 81.5%] ep   1631/2000 | loss -0.1832 | reward +5.019 |   10.1s elapsed /    2.
[ 82.0%] ep   1641/2000 | loss +0.1533 | reward +4.709 |   10.2s elapsed /    2.
[ 82.5%] ep   1651/2000 | loss -0.0423 | reward +5.019 |   10.2s elapsed /    2.
[ 83.0%] ep   1661/2000 | loss +0.4381 | reward +5.328 |   10.3s elapsed /    2.
[ 83.5%] ep   1671/2000 | loss -0.0844 | reward +5.019 |   10.3s elapsed /    2.
[ 84.0%] ep   1681/2000 | loss +0.1250 | reward +5.174 |   10.4s elapsed /    2.
[ 84.5%] ep   1691/2000 | loss -0.1072 | reward +5.174 |   10.4s elapsed /    1.
[ 85.0%] ep   1701/2000 | loss +0.2704 | reward +5.328 |   10.5s elapsed /    1.
[ 85.5%] ep   1711/2000 | loss +0.0378 | reward +5.174 |   10.5s elapsed /    1.
[ 86.0%] ep   1721/2000 | loss -0.0250 | reward +5.019 |   10.6s elapsed /    1.
[ 86.5%] ep   1731/2000 | loss +0.7565 | reward +5.328 |   10.6s elapsed /    1.
[ 87.0%] ep   1741/2000 | loss +0.2828 | reward +5.328 |   10.7s elapsed /    1.
[ 87.5%] ep   1751/2000 | loss +0.4531 | reward +5.312 |   10.7s elapsed /    1.
[ 88.0%] ep   1761/2000 | loss +0.1293 | reward +5.328 |   10.8s elapsed /    1.
[ 88.5%] ep   1771/2000 | loss +0.3056 | reward +5.015 |   10.9s elapsed /    1.
[ 89.0%] ep   1781/2000 | loss +0.1743 | reward +5.328 |   10.9s elapsed /    1.
[ 89.5%] ep   1791/2000 | loss -0.1984 | reward +5.174 |   11.0s elapsed /    1.
[ 90.0%] ep   1801/2000 | loss +0.4227 | reward +5.328 |   11.0s elapsed /    1.
[ 90.5%] ep   1811/2000 | loss +0.3235 | reward +5.328 |   11.1s elapsed /    1.
[ 91.0%] ep   1821/2000 | loss +0.1111 | reward +5.174 |   11.1s elapsed /    1.
[ 91.5%] ep   1831/2000 | loss -0.0466 | reward +5.019 |   11.2s elapsed /    1.
[ 92.0%] ep   1841/2000 | loss -0.0686 | reward +4.864 |   11.2s elapsed /    1.
[ 92.5%] ep   1851/2000 | loss +0.5696 | reward +5.174 |   11.3s elapsed /    0.
[ 93.0%] ep   1861/2000 | loss +0.3648 | reward +4.709 |   11.3s elapsed /    0.
[ 93.5%] ep   1871/2000 | loss -0.0530 | reward +5.328 |   11.4s elapsed /    0.
[ 94.0%] ep   1881/2000 | loss -0.0233 | reward +5.328 |   11.4s elapsed /    0.
[ 94.5%] ep   1891/2000 | loss +0.3039 | reward +5.328 |   11.5s elapsed /    0.
[ 95.0%] ep   1901/2000 | loss -0.2513 | reward +4.709 |   11.5s elapsed /    0.
[ 95.5%] ep   1911/2000 | loss -0.0644 | reward +5.174 |   11.6s elapsed /    0.
[ 96.0%] ep   1921/2000 | loss +0.0154 | reward +5.174 |   11.7s elapsed /    0.
[ 96.5%] ep   1931/2000 | loss +0.2197 | reward +5.328 |   11.7s elapsed /    0.
[ 97.0%] ep   1941/2000 | loss +0.1104 | reward +5.328 |   11.8s elapsed /    0.
[ 97.5%] ep   1951/2000 | loss +0.2544 | reward +4.864 |   11.8s elapsed /    0.
[ 98.0%] ep   1961/2000 | loss +0.9813 | reward +5.328 |   11.9s elapsed /    0.
[ 98.5%] ep   1971/2000 | loss +0.2564 | reward +5.328 |   11.9s elapsed /    0.
[ 99.0%] ep   1981/2000 | loss -0.1135 | reward +5.328 |   12.0s elapsed /    0.
[ 99.5%] ep   1991/2000 | loss +0.2481 | reward +5.328 |   12.0s elapsed /    0.
[100.0%] ep   2000/2000 | loss -16.1486 | reward -0.258 |   12.1s elapsed /    0
done: 2000 eps in 12.1s

============================================================
  Experiment: survey-local-8-N2
  Method:     actor_critic
  Agents:     2
  Grid:       8x8
  Episodes:   2000
  Seeds:      5
  Time:       12.6s
------------------------------------------------------------
  Final loss:   -6.9408 +/- 8.8838
  Final reward: 3.09 +/- 2.74
------------------------------------------------------------
  Output: experiments/survey-local-8-N2
============================================================

